TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
MA-FUT-003,IBOR-MA,Buy,IBOR-CLF5,5,78.50,USD,2024-07-01,CommodityAllocation,CUST-STATE-003,MS,2024-07-02,2024-07-02,10:39:36,CBOE,ORD-20240701-0011,ALLOC-20240701-0011,CP-DB,DVP,0.25,USD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,LCH,LOC,Deutsche Bank,DVP,DTCC,Reported,IBOR Trading Desk
MA-OPT-001,IBOR-MA,Buy,IBOR-AAPL-C200,20,8.50,USD,2024-06-01,OptionsOverlay,CUST-BNY-001,GS,2024-06-03,2024-06-03,12:13:27,CBOE,ORD-20240601-0012,ALLOC-20240601-0012,CP-UBS,DVP,0.09,USD,0,0,Settled,Confirmed,Tradeweb,NASDAQ,LCH,Market,UBS,DVP,DTCC,Reported,IBOR Asset Management
MA-OPT-002,IBOR-MA,Buy,IBOR-MSFT-P380,15,12.00,USD,2024-07-01,OptionsOverlay,CUST-JPM-002,MS,2024-07-02,2024-07-02,16:30:50,NASDAQ,ORD-20240701-0013,ALLOC-20240701-0013,CP-JPM,DVP,0.08,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,DTCC/NSCC,MOC,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
MA-EQ-006,IBOR-MA,Sell,IBOR-AAPL,200,192.00,USD,2024-08-01,EquityAllocation,CUST-BNY-001,GS,2024-08-02,2024-08-02,09:52:48,NASDAQ,ORD-20240801-0014,ALLOC-20240801-0014,CP-CITI,DVP,14.58,USD,0,0,Settled,Confirmed,Charles River IMS,LSE,LCH,MOC,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
MA-FNO-IBOR-AAPL-C200,IBOR-MA,Buy,IBOR-AAPL-C200,5,8.5,USD,2024-09-06,Derivatives,CUST-BNY-001,MS,2024-09-09,2024-09-09,08:02:15,ARCA,ORD-20240906-0015,ALLOC-20240906-0015,CP-JPM,DVP,0.02,USD,0,0,Settled,Confirmed,Tradeweb,NYSE,LCH,Market,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
MA-FNO-IBOR-MSFT-P380,IBOR-MA,Buy,IBOR-MSFT-P380,5,12.0,USD,2025-01-06,Derivatives,CUST-BNY-001,GS,2025-01-07,2025-01-07,14:31:25,NASDAQ,ORD-20250106-0016,ALLOC-20250106-0016,CP-MS,DVP,0.04,USD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,LCH,TWAP,Morgan Stanley,DVP,DTCC,Reported,IBOR Asset Management
MA-FNO-IBOR-NVDA-C150,IBOR-MA,Buy,IBOR-NVDA-C150,5,15.0,USD,2024-11-26,Derivatives,CUST-BNY-001,JPM,2024-11-27,2024-11-27,14:14:11,ARCA,ORD-20241126-0017,ALLOC-20241126-0017,CP-GS,DVP,0.05,USD,0,0,Settled,Confirmed,Bloomberg OMS,LSE,LCH,TWAP,Goldman Sachs,DVP,DTCC,Reported,IBOR Trading Desk
MA-FNO-IBOR-AMZN-P220,IBOR-MA,Buy,IBOR-AMZN-P220,5,18.0,USD,2024-09-19,Derivatives,CUST-BNY-001,GS,2024-09-20,2024-09-20,10:51:29,CBOE,ORD-20240919-0018,ALLOC-20240919-0018,CP-UBS,DVP,0.06,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,DTCC/NSCC,TWAP,UBS,DVP,DTCC,Reported,IBOR Trading Desk
MA-FNO-IBOR-META-C600,IBOR-MA,Buy,IBOR-META-C600,15,5.5,USD,2024-12-09,Derivatives,CUST-BNY-001,JPM,2024-12-10,2024-12-10,16:28:57,NASDAQ,ORD-20241209-0019,ALLOC-20241209-0019,CP-UBS,DVP,0.05,USD,0,0,Settled,Confirmed,Charles River IMS,LSE,DTCC/NSCC,MOC,UBS,DVP,DTCC,Reported,IBOR Trading Desk
MA-FNO-IBOR-GOOGL-C190,IBOR-MA,Buy,IBOR-GOOGL-C190,10,7.0,USD,2024-09-17,Derivatives,CUST-BNY-001,GS,2024-09-18,2024-09-18,16:31:40,NASDAQ,ORD-20240917-0020,ALLOC-20240917-0020,CP-CITI,DVP,0.04,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,LCH,LOC,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
MA-FNO-IBOR-NQH5,IBOR-MA,Buy,IBOR-NQH5,20,18800,USD,2025-01-05,Derivatives,CUST-BNY-001,JPM,2025-01-06,2025-01-06,11:17:21,CBOE,ORD-20250105-0021,ALLOC-20250105-0021,CP-HSBC,DVP,99.44,USD,0,0,Settled,Confirmed,Charles River IMS,NYSE,DTCC/NSCC,VWAP,HSBC,DVP,DTCC,Reported,IBOR Asset Management
MA-FNO-IBOR-GCG5,IBOR-MA,Buy,IBOR-GCG5,20,2050,USD,2024-12-16,Derivatives,CUST-BNY-001,GS,2024-12-17,2024-12-17,14:44:09,NASDAQ,ORD-20241216-0022,ALLOC-20241216-0022,CP-JPM,DVP,21.81,USD,0,0,Settled,Confirmed,Aladdin,LSE,LCH,LOC,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
